category,amt,gender,dob,transaction_hour,is_fraud
13,8.49,0,69,22,1
10,4.37,1,25,16,0
8,738.31,0,54,16,1
12,795.01,1,30,23,1
7,64.94,0,54,16,0
2,74.07,1,54,3,0
12,7.27,0,33,23,0
5,18.39,1,89,23,1
5,35.32,0,93,21,0
3,103.5,0,48,2,0
4,304.17,1,25,3,1
13,4.53,1,63,12,0
7,9.73,0,32,23,0
6,24.53,1,35,12,0
6,61.02,0,44,23,0
5,60.29,1,38,17,0
12,1.1,0,55,6,0
6,122.11,1,66,23,0
0,105.23,0,75,6,0
7,48.42,1,46,12,0
1,129.11,0,45,0,1
6,143.02,0,48,20,0
2,20.45,1,83,3,1
4,228.44,0,38,11,0
6,20.43,0,43,12,0
5,59.07,1,55,19,0
11,997.39,1,80,22,1
12,4.65,1,56,11,0
10,1.4,0,36,13,0
2,54.51,0,22,2,0
2,59.2,0,25,9,0
4,316.37,1,60,23,1
11,51.42,0,32,17,0
6,168.06,0,50,23,1
4,344.74,0,70,8,1
2,76.81,0,25,3,0
8,786.09,0,57,21,1
11,1031.72,0,58,23,1
4,62.16,0,36,11,0
8,128.36,1,48,11,0
1,85.87,1,66,22,0
8,904.15,1,31,3,1
4,139.75,0,59,0,0
8,975.85,0,86,23,1
4,318.03,1,56,0,1
9,5.04,0,31,18,0
11,1289.89,0,52,1,1
12,1034.8,0,33,2,1
3,25.12,0,32,1,0
6,32.21,1,92,14,0
12,3.85,0,51,15,0
6,4.84,0,38,16,0
4,343.39,0,55,3,1
13,7.15,0,34,12,0
4,133.98,0,72,1,0
10,83.39,0,45,13,0
11,1124.01,0,87,23,1
8,349.5,0,39,2,0
9,1.92,1,21,22,0
7,70.17,1,43,18,0
0,65.03,1,38,23,0
10,1.2,1,78,14,0
12,788.9,0,29,1,1
11,7.63,0,36,18,0
8,684.72,1,64,22,1
8,869.0,1,57,22,1
12,1124.86,0,30,18,1
11,12.85,1,25,16,0
5,77.15,1,34,22,0
4,300.43,0,56,0,1
2,65.31,1,46,1,0
7,41.42,1,49,13,0
12,133.04,1,33,17,0
13,453.68,1,30,20,0
1,46.43,1,55,0,0
2,89.71,1,66,3,0
13,5.69,0,64,23,1
7,44.8,0,57,20,0
10,1.03,0,61,14,0
4,269.86,0,64,0,1
9,1.9,0,48,21,0
5,22.36,0,80,23,1
9,71.32,0,61,10,0
0,72.54,0,27,14,0
11,787.72,0,50,2,1
10,6.27,0,35,21,0
11,821.14,1,27,22,1
1,45.15,0,28,19,0
12,119.85,0,31,17,0
7,23.07,0,32,17,0
6,72.02,0,47,15,0
0,11.23,1,91,13,0
11,2.83,0,47,16,0
9,8.78,1,48,23,1
4,296.83,1,19,3,1
1,60.98,1,65,14,0
4,289.01,1,69,23,1
11,1143.13,0,39,9,1
8,846.77,1,23,2,1
12,3.47,0,46,22,0
5,14.78,1,79,21,0
4,78.25,1,43,7,0
2,8.78,1,32,1,1
5,114.5,0,76,20,0
1,53.59,1,44,21,0
4,113.12,1,69,6,0
10,20.66,0,50,13,1
12,305.84,1,60,6,0
9,50.28,1,61,18,1
12,1252.51,0,25,23,1
8,754.99,0,73,17,1
4,96.51,1,29,2,0
5,19.68,1,78,13,1
12,62.11,0,27,17,0
5,41.38,0,66,15,0
12,790.85,1,29,23,1
0,2.76,1,61,12,0
10,19.38,1,22,21,0
11,953.76,0,47,1,1
7,8.91,0,34,16,0
12,121.87,1,40,10,0
5,21.29,0,29,15,1
8,792.7,1,24,4,1
11,846.35,0,37,2,1
6,12.98,0,50,22,0
8,8.58,0,35,23,0
6,59.39,0,50,17,0
0,75.54,1,37,12,0
0,78.82,0,55,22,0
11,909.0,1,47,23,1
12,4.27,1,76,9,0
1,66.4,0,38,12,0
0,393.1,1,54,23,1
10,137.08,0,50,21,0
12,7.25,0,50,19,0
4,304.0,1,35,1,1
11,1017.4,1,48,12,1
2,73.63,1,43,8,0
13,3.02,1,73,20,0
4,73.22,0,34,7,0
11,1006.58,0,85,23,1
0,7.94,0,69,0,0
2,50.04,0,83,4,0
7,109.27,1,49,23,0
11,928.19,1,41,22,1
11,1130.56,1,44,23,1
5,313.37,0,50,16,0
8,119.88,1,29,7,0
11,3.33,0,44,13,0
1,83.05,0,37,22,0
12,815.65,0,55,22,1
4,303.92,1,35,0,1
11,9.78,0,61,1,0
4,104.76,0,42,4,0
10,4.43,0,41,13,0
2,51.29,1,42,4,0
11,834.49,1,62,22,1
6,17.67,0,37,19,0
6,136.4,0,50,15,0
1,125.67,0,34,23,1
12,914.69,1,86,22,1
4,311.78,0,65,0,1
4,347.22,1,33,0,1
12,928.93,1,83,23,1
9,7.86,0,35,0,1
8,10.98,0,54,2,0
4,277.07,0,77,22,1
8,773.79,1,57,23,1
8,758.08,1,28,3,1
0,72.9,1,44,22,0
4,311.01,1,54,2,1
9,84.35,1,76,6,0
6,287.83,0,46,20,1
5,18.89,0,52,22,1
2,78.29,0,57,6,0
11,1117.28,1,29,22,1
0,72.84,0,43,22,0
11,1036.91,1,54,22,1
6,207.26,0,47,22,1
6,7.78,0,60,22,0
12,1010.03,0,86,23,1
8,1.06,0,51,5,0
5,20.55,0,36,16,1
11,968.77,1,29,22,1
4,335.24,1,53,3,1
4,304.86,0,24,1,1
2,66.43,1,40,0,0
12,785.82,1,29,23,1
5,105.13,0,68,20,0
11,967.35,1,24,23,1
8,836.6,1,31,23,1
8,891.69,1,41,23,1
6,230.35,0,39,12,1
11,983.82,1,38,22,1
5,23.23,0,73,21,0
2,7.65,1,69,3,1
2,53.66,0,57,4,0
8,35.39,0,49,8,0
12,4.94,0,54,6,0
9,48.43,0,76,22,1
11,790.34,1,32,21,1
11,1.3,0,38,21,0
4,122.3,0,34,2,0
1,132.1,0,51,22,1
10,21.31,1,42,23,1
5,25.26,0,37,22,1
9,48.42,1,65,23,1
8,753.33,0,55,23,1
10,8.75,0,18,17,0
8,778.91,1,34,2,1
0,493.98,0,32,22,1
4,296.06,1,66,1,1
12,57.5,0,47,12,0
2,8.02,1,41,0,1
9,157.59,0,51,7,0
5,76.17,1,31,17,0
12,7.33,0,66,4,0
4,312.8,1,54,22,1
4,151.24,0,57,3,0
12,876.79,1,60,23,1
11,1080.21,1,55,22,1
11,1065.91,0,35,2,1
4,300.9,0,60,1,1
4,318.94,1,89,23,1
8,792.26,0,67,22,1
3,80.76,0,50,8,0
11,1032.1,1,52,22,1
8,690.55,1,75,22,1
9,1.9,1,72,7,0
4,106.77,1,60,5,0
5,75.53,1,42,20,0
6,228.94,0,45,23,1
5,23.36,0,38,22,1
11,986.88,1,53,23,1
11,1024.04,1,21,23,1
11,1156.15,0,55,22,1
8,749.17,1,25,3,1
5,3.94,1,19,12,0
3,70.58,1,79,10,0
2,41.23,1,37,10,0
8,723.97,1,74,23,1
11,361.73,0,37,22,0
7,40.43,1,29,13,0
4,288.41,1,76,1,1
11,1135.07,1,69,23,1
6,42.61,1,46,13,0
2,18.32,1,62,3,1
8,253.55,0,42,2,0
11,1094.88,1,42,22,1
12,777.48,0,30,7,1
6,37.83,1,84,21,0
9,4.03,0,82,10,0
8,771.43,0,85,23,1
0,669.67,1,58,23,1
9,170.88,0,35,9,0
6,200.94,0,39,16,0
10,93.58,0,50,12,0
4,320.09,0,77,1,1
11,1028.41,0,39,0,1
2,10.03,1,46,2,1
11,958.05,1,35,22,1
9,26.39,0,30,5,0
11,232.28,1,55,4,0
6,38.85,1,43,23,0
13,7.74,1,68,22,1
12,644.4,1,48,15,1
11,1123.95,0,82,21,1
1,21.02,0,51,15,0
9,8.2,1,58,8,0
11,877.57,1,80,22,1
1,40.19,1,40,18,0
3,11.59,1,39,2,1
12,957.09,0,61,22,1
2,10.64,0,56,0,1
12,7.04,0,35,17,0
12,140.37,1,44,8,0
9,24.32,0,47,4,0
10,17.67,0,31,20,0
9,35.92,1,32,10,0
12,958.14,0,91,22,1
7,22.92,1,43,19,0
4,283.02,0,54,0,1
7,36.97,0,51,16,0
12,1206.65,1,74,23,1
8,826.39,0,64,23,1
12,229.25,1,81,10,0
4,302.31,1,49,1,1
8,849.25,1,59,23,1
12,1084.51,1,53,22,1
2,83.73,0,25,8,0
7,60.5,0,22,23,0
9,49.85,1,90,22,1
11,2.07,0,32,14,0
1,131.09,0,45,22,1
2,9.94,1,26,1,1
2,58.91,1,27,11,0
4,325.35,1,49,2,1
0,26.44,0,47,20,0
3,65.82,0,39,6,0
7,120.77,0,28,23,0
8,849.01,1,52,22,1
6,219.73,0,18,21,1
12,755.73,0,41,3,1
9,49.76,0,60,23,1
7,52.14,1,40,23,0
11,1107.27,1,28,22,1
4,293.44,1,85,22,1
11,1073.49,0,59,23,1
12,6.95,0,37,23,0
12,881.1,0,35,1,1
13,7.47,0,37,22,0
4,328.57,1,40,2,1
5,20.33,1,44,16,1
12,8.11,1,56,4,0
3,24.87,0,49,2,0
4,101.72,1,31,0,0
11,990.92,1,32,23,1
11,993.66,1,34,22,1
4,317.09,1,36,22,1
0,18.71,0,83,20,0
1,39.02,0,23,19,0
13,4.25,0,31,16,0
12,772.91,0,30,6,1
4,274.36,0,23,1,1
2,37.61,0,50,2,0
4,298.17,0,57,1,1
4,119.04,0,39,11,0
4,80.55,1,49,11,0
0,38.53,0,27,12,0
12,200.9,0,37,23,0
3,25.14,1,25,0,0
10,108.36,0,50,19,0
11,1059.12,0,50,0,1
4,308.5,0,61,10,1
4,320.13,1,74,2,1
4,106.24,1,25,0,0
4,272.15,1,82,0,1
4,105.27,0,88,7,0
12,734.72,0,29,3,1
0,56.52,0,50,14,0
2,11.99,0,27,2,1
13,8.18,1,77,16,0
12,819.42,0,92,22,1
8,5.33,1,37,6,0
8,62.11,1,49,9,0
4,290.93,0,95,2,1
8,888.13,1,52,23,1
11,93.42,1,39,7,0
11,864.43,0,31,0,1
11,872.07,1,89,22,1
11,1097.18,0,34,3,1
11,914.0,1,24,22,1
2,19.43,0,55,9,1
0,62.53,0,57,19,0
4,298.35,0,23,0,1
10,10.45,0,32,19,0
2,7.42,0,73,3,1
9,95.78,1,38,20,0
4,71.94,0,61,5,0
7,7.59,0,38,15,0
5,23.69,1,45,22,0
11,915.2,1,72,19,1
8,658.57,0,60,22,1
13,1.63,0,61,20,0
10,81.28,1,40,20,0
13,10.76,0,31,22,1
8,823.01,0,70,23,1
6,85.38,1,38,17,0
2,10.25,0,93,2,1
11,883.87,1,32,22,1
11,970.02,1,56,14,1
0,9.95,0,60,7,0
5,32.3,1,38,17,0
3,8.05,1,80,0,1
4,291.1,0,27,2,1
11,1111.8,0,85,22,1
2,51.7,0,46,11,0
4,355.1,0,92,2,1
10,7.94,0,95,14,0
10,9.86,1,49,23,0
12,1.98,1,83,3,0
4,296.3,0,80,5,1
11,853.5,1,28,22,1
12,717.14,0,37,0,1
6,7.45,1,62,12,0
0,473.95,1,28,22,1
11,881.86,0,35,1,1
4,284.46,0,70,0,1
12,3.09,0,37,15,0
2,50.12,0,18,11,0
2,74.3,0,65,7,0
0,147.81,1,26,18,0
2,68.44,1,37,8,0
8,2.78,0,49,4,0
1,44.59,1,79,16,0
8,778.32,1,23,11,1
8,778.05,1,44,22,1
8,3.25,1,49,1,0
0,149.8,0,25,14,0
3,14.33,1,61,2,1
4,95.56,0,58,9,0
4,316.31,1,56,5,1
12,813.59,1,60,23,1
4,91.45,1,36,5,0
11,1027.34,0,83,17,1
12,875.77,1,47,22,1
8,3.49,0,45,7,0
12,972.65,1,55,22,1
11,1000.87,0,45,2,1
11,929.73,1,58,22,1
2,9.65,1,36,3,1
4,319.58,1,47,1,1
3,8.59,0,56,2,1
2,78.5,1,28,0,0
11,3.23,0,86,8,0
13,5.35,0,83,15,0
8,718.27,0,96,23,1
2,12.34,1,25,4,1
11,902.07,1,75,15,1
12,912.51,1,49,22,1
11,1032.55,1,48,22,1
11,997.8,0,66,23,1
8,6.73,0,46,11,0
5,20.68,1,44,22,1
0,46.55,0,42,17,0
8,781.13,1,67,22,1
2,19.66,1,52,3,1
11,1033.34,1,56,14,1
8,118.29,1,36,5,0
8,743.47,1,77,23,1
8,920.01,1,54,14,1
11,1042.75,0,54,22,1
5,90.18,1,62,19,0
5,23.2,0,41,14,0
7,52.39,1,48,22,0
9,4.82,1,56,6,0
8,749.12,1,71,22,1
6,112.26,0,34,17,0
11,892.48,1,25,15,1
12,5.41,0,46,13,0
8,891.62,1,33,22,1
4,331.2,0,34,8,1
3,36.27,0,96,3,0
8,76.93,1,32,9,0
4,237.66,0,30,11,0
6,78.25,0,27,18,0
11,1.77,1,42,12,0
4,300.05,0,83,2,1
11,1012.1,1,54,23,1
9,50.07,0,82,19,1
7,38.22,0,49,12,0
8,735.45,1,51,18,1
4,299.89,1,31,1,1
4,70.33,1,29,8,0
8,112.86,1,28,5,0
4,192.83,0,51,5,0
11,3.65,1,67,8,0
4,286.39,1,66,1,1
13,2.42,1,29,23,0
10,21.8,0,39,23,1
4,62.09,1,34,11,0
8,4.01,0,65,10,0
3,64.51,1,32,1,0
4,294.93,1,77,2,1
10,8.08,0,38,18,0
0,23.01,1,21,17,0
2,10.76,0,41,0,1
12,2.04,1,61,2,0
11,1080.63,1,55,22,1
2,68.95,0,46,10,0
13,9.47,0,69,14,0
11,91.7,1,29,2,0
11,854.49,1,28,22,1
7,125.79,0,93,17,0
2,59.4,0,50,1,0
7,8.9,0,49,15,0
6,89.19,1,38,14,0
11,97.97,1,50,4,0
12,5.91,0,37,16,0
13,500.44,1,29,14,0
1,15.4,0,37,19,0
8,8.02,1,47,0,0
0,65.52,0,25,16,0
5,43.91,0,18,18,0
11,1187.73,0,91,23,1
12,968.96,0,32,23,1
2,58.66,0,18,1,0
2,79.04,1,81,5,0
8,745.17,1,46,22,1
1,5.45,0,35,20,0
12,812.59,0,22,23,1
12,9.95,1,55,9,0
12,7.01,0,50,13,0
11,887.08,1,33,23,1
11,52.81,0,30,16,0
4,336.94,1,56,7,1
12,956.59,1,94,22,1
12,776.11,1,89,7,0
12,30.17,0,62,7,0
2,23.11,0,77,3,1
12,802.49,1,79,23,1
10,88.94,1,52,21,0
10,67.98,1,48,21,0
6,6.36,1,66,22,0
2,9.05,1,57,2,1
12,1020.32,0,64,20,1
8,711.63,1,26,3,1
7,58.53,1,52,17,0
2,41.78,0,38,3,0
0,59.14,1,22,22,0
2,68.33,1,49,3,0
4,94.17,1,92,0,0
12,2.57,0,38,13,0
4,346.51,0,43,1,1
12,9.04,0,35,22,0
4,291.74,1,36,2,1
6,213.31,0,37,22,1
4,106.7,1,37,11,0
4,334.85,0,46,2,1
12,18.84,0,34,12,0
3,11.16,1,25,0,1
11,895.7,0,37,2,1
10,52.45,0,53,22,1
4,321.58,1,89,1,1
10,38.96,1,33,18,0
12,867.54,1,67,22,1
11,38.45,0,50,17,0
0,93.73,0,51,13,0
4,143.35,1,59,9,0
1,115.38,1,44,17,0
4,68.37,1,55,11,0
13,10.93,1,47,20,1
5,71.35,0,38,15,0
8,759.4,1,66,23,1
8,3.9,1,21,22,0
11,1046.97,0,63,18,1
2,7.95,1,40,3,1
4,290.79,1,42,22,1
1,2.06,1,32,17,0
13,7.79,1,66,14,0
4,296.99,0,24,0,1
7,51.73,0,32,21,0
4,286.7,0,68,9,1
0,26.72,0,62,17,0
8,1.46,0,25,21,0
6,30.45,1,47,19,0
8,762.65,1,55,23,1
3,11.07,1,40,1,1
7,41.34,0,63,20,0
9,94.87,0,25,19,0
11,794.77,0,35,1,1
11,5.89,1,34,17,0
4,305.54,1,77,22,1
11,937.29,1,38,22,1
8,852.93,1,22,22,1
12,808.03,1,33,23,1
12,1.4,0,36,18,0
6,5.05,0,37,16,0
7,17.95,0,56,23,1
2,89.38,1,34,8,0
4,291.59,1,24,0,1
7,117.41,1,56,19,0
4,92.69,1,42,11,0
10,18.29,0,67,23,0
10,86.0,0,93,12,0
10,57.84,0,31,12,0
3,37.96,0,36,9,0
2,66.91,1,60,8,0
12,5.41,1,32,13,0
1,67.57,0,70,13,0
5,33.77,0,68,16,0
4,317.96,0,73,22,1
5,19.31,1,47,22,1
6,25.77,0,36,19,0
1,78.49,0,41,19,0
12,798.22,0,36,0,1
4,163.13,0,67,3,0
4,344.49,0,51,3,1
2,12.54,1,39,9,1
10,30.98,0,61,17,0
6,6.06,1,55,15,0
11,1052.65,1,79,22,1
9,1.83,0,23,22,0
10,10.42,1,53,22,0
9,7.92,1,46,12,1
12,968.76,0,59,23,1
12,893.8,0,60,22,1
2,46.38,1,62,11,0
7,55.84,0,58,23,0
7,49.47,1,41,20,0
11,1042.38,0,58,23,1
6,218.81,0,36,23,1
9,8.13,0,81,23,1
12,713.69,1,36,19,1
4,325.9,0,55,22,1
5,17.82,0,50,14,1
12,6.71,1,54,8,0
4,103.55,1,56,10,0
4,301.4,1,25,7,1
5,42.51,1,42,22,0
4,110.97,0,92,11,0
4,106.0,0,32,9,0
2,9.69,0,43,2,1
10,4.32,0,52,14,0
12,939.35,1,62,23,1
8,656.01,1,42,22,1
7,2.61,1,55,22,1
4,344.55,0,69,23,1
11,486.75,0,59,5,0
1,95.94,0,32,22,1
0,30.22,1,53,18,0
3,18.24,0,64,1,1
1,51.09,0,35,21,0
11,4.54,0,83,4,0
11,942.86,1,42,22,1
8,788.49,1,23,2,1
4,193.42,0,37,8,0
0,28.51,0,34,16,0
11,1066.31,1,73,22,1
7,23.18,0,50,23,1
12,6.47,0,58,11,0
4,278.4,1,41,1,1
9,9.1,0,22,22,1
4,367.29,0,68,11,1
11,4.41,0,49,13,0
12,3.52,0,44,15,0
2,20.39,0,57,3,1
8,9.52,0,31,18,0
11,1015.85,0,27,22,1
4,56.03,1,46,7,0
2,52.28,0,36,4,0
4,295.16,0,23,1,1
7,95.69,0,39,15,0
8,694.01,1,61,23,1
2,10.87,0,46,0,1
11,1073.82,0,59,13,1
12,12.8,0,64,7,0
1,28.31,1,55,14,0
7,19.89,0,37,13,0
11,955.16,1,64,23,1
4,313.59,1,61,3,1
9,120.39,0,48,11,0
8,783.46,1,40,0,1
4,352.55,1,52,0,1
4,288.3,1,95,2,1
11,1054.06,1,77,23,1
6,118.75,0,36,16,0
3,44.22,0,37,0,0
5,4.62,0,50,14,0
4,115.03,0,53,0,0
4,196.62,0,30,2,0
4,320.36,0,82,22,1
8,774.14,1,90,23,1
4,273.71,1,31,3,1
4,332.13,0,51,0,1
11,955.39,0,61,23,1
6,73.53,0,34,21,0
11,2.92,0,59,10,0
2,11.88,1,77,3,1
11,945.4,1,49,22,1
8,2.69,1,29,3,0
11,821.89,0,25,23,1
11,23.17,0,38,19,0
12,275.3,1,72,5,0
7,27.62,1,65,20,0
6,46.79,0,45,22,0
11,1029.06,1,25,21,1
5,117.78,0,18,23,0
9,25.81,0,30,11,0
0,129.0,0,51,20,0
0,23.63,1,56,9,0
2,11.14,1,59,3,1
10,36.37,0,63,12,0
7,20.71,0,50,12,1
2,53.13,0,25,4,0
6,114.04,1,67,19,0
7,66.88,0,27,23,0
8,218.51,0,74,11,0
0,44.91,0,47,15,0
3,14.7,0,63,2,1
0,31.65,0,56,18,0
7,18.56,0,34,15,0
11,6.46,0,56,9,0
12,3.36,1,57,3,0
12,730.65,0,31,3,1
11,1132.86,1,55,23,1
12,286.83,0,52,23,0
11,1152.92,0,46,1,1
12,969.64,0,67,22,1
8,745.25,1,59,22,1
11,979.0,1,55,22,1
6,235.94,0,29,23,1
8,763.54,1,44,22,1
9,8.22,1,82,23,1
0,226.76,0,47,21,0
2,8.09,1,32,3,1
0,2.25,0,70,8,0
11,986.73,0,27,22,1
0,127.84,0,41,17,0
11,2.28,1,42,23,0
11,1008.56,0,22,23,1
4,317.26,1,61,0,1
0,56.94,0,43,19,0
12,776.09,0,70,22,1
12,990.09,1,65,22,1
12,827.23,1,31,23,1
5,22.72,1,60,17,0
2,61.08,1,49,9,0
1,7.35,0,46,14,0
12,915.54,1,31,23,1
0,217.75,0,42,14,0
8,849.35,0,51,0,1
10,51.86,1,65,14,0
2,95.29,1,66,4,0
0,23.39,1,37,12,0
8,836.07,1,36,22,1
7,6.51,1,81,22,1
7,40.4,0,60,12,0
8,676.39,0,87,18,1
4,282.6,1,25,1,1
11,7.92,0,39,19,0
1,66.56,0,31,18,0
9,49.36,1,65,12,1
12,3.2,1,23,12,0
6,9.67,0,40,13,0
0,482.3,0,28,3,1
8,785.11,0,59,23,1
12,1106.68,0,72,22,1
6,63.55,0,66,16,0
2,11.88,1,38,3,1
7,66.02,0,51,17,0
4,295.36,0,21,3,1
11,992.1,1,76,22,1
13,9.94,0,63,18,1
10,38.96,0,47,19,0
8,3.72,0,21,18,0
2,9.05,0,48,0,1
7,51.33,1,29,17,0
4,296.45,0,70,0,1
8,772.1,1,35,0,1
5,39.83,1,76,22,0
6,64.12,0,93,20,0
11,1094.76,1,31,22,1
4,125.23,1,67,9,0
10,6.96,0,49,12,0
2,72.0,1,28,11,0
12,874.71,0,38,18,1
11,932.21,1,43,23,1
10,241.62,0,45,21,0
4,308.33,1,66,22,1
4,303.13,1,30,0,1
3,34.74,0,34,11,0
12,1.45,0,54,1,0
4,298.21,0,65,11,1
7,4.38,1,66,23,1
5,19.05,0,28,23,1
10,223.21,0,88,20,0
4,357.15,0,76,2,1
11,1060.3,0,86,23,1
9,8.28,1,64,8,0
2,77.23,1,57,8,0
4,84.93,0,32,1,0
8,1.04,1,49,5,0
1,98.34,1,32,20,0
10,48.23,0,61,18,0
12,895.09,1,91,23,1
1,1.17,0,36,22,0
4,374.46,0,68,1,1
5,17.27,0,32,22,1
4,232.86,0,37,10,0
4,101.63,1,57,4,0
4,326.38,0,89,2,1
0,2.13,1,77,23,0
4,335.97,0,60,22,1
4,326.49,0,66,22,1
13,9.09,0,40,22,1
7,22.4,0,50,23,0
0,124.76,0,50,15,0
12,863.14,0,66,17,1
4,283.62,0,24,1,1
8,8.46,1,40,4,0
11,900.76,1,73,22,1
2,8.78,0,47,1,1
10,75.83,0,34,15,0
7,97.77,1,31,23,0
10,22.37,1,53,21,0
4,302.91,1,31,3,1
10,19.49,0,50,23,1
4,292.71,0,25,2,1
12,1.56,0,52,6,0
7,20.82,0,45,21,1
4,323.22,1,87,2,1
4,54.95,1,55,4,0
3,10.68,1,25,0,1
4,91.41,0,31,3,0
6,70.07,1,80,19,0
11,845.71,1,32,23,1
6,71.63,1,26,23,0
10,11.97,0,60,20,0
6,18.01,1,77,22,0
4,282.39,1,46,2,1
0,169.06,0,35,14,0
11,1000.03,1,58,22,1
6,54.4,1,35,12,0
12,2.19,1,36,22,0
11,1031.92,1,63,22,1
13,11.28,0,46,22,1
11,1067.57,1,38,22,1
4,301.61,0,55,1,1
7,44.97,1,35,15,0
4,362.44,0,45,2,1
1,79.86,1,77,15,0
0,128.93,1,78,22,0
7,31.94,1,38,15,0
4,66.44,0,58,4,0
6,50.1,0,39,12,0
12,771.55,0,36,3,1
9,3.51,0,67,9,0
12,765.34,1,48,22,1
12,926.93,1,49,23,1
6,2.15,0,68,16,0
6,37.51,0,92,13,0
1,97.93,0,46,23,1
4,111.32,0,35,9,0
11,1027.78,1,33,22,1
11,379.23,0,53,3,0
6,2.36,1,35,15,0
4,280.51,1,62,3,1
11,4.03,0,46,12,0
6,231.12,0,50,23,1
11,1070.23,0,56,14,1
6,73.35,1,40,23,0
2,13.78,1,33,0,1
11,770.13,1,42,22,1
0,69.15,0,52,14,0
11,997.42,0,33,3,1
12,222.53,1,26,21,0
10,68.34,1,43,17,0
11,876.08,1,91,23,1
4,270.17,1,46,3,1
3,9.05,0,22,2,1
10,64.23,0,73,20,0
4,107.06,1,29,5,0
1,182.54,0,62,5,0
1,2.28,0,39,21,0
5,63.61,1,29,17,0
0,419.75,1,68,23,1
4,97.7,1,50,0,0
1,84.04,0,45,12,0
2,9.08,1,26,3,1
4,319.5,0,25,3,1
3,51.43,0,30,6,0
12,2.69,0,51,14,0
1,90.15,0,69,20,0
11,1148.13,0,82,23,1
11,952.66,0,60,22,1
11,965.86,1,49,23,1
10,24.37,0,50,22,1
11,823.34,1,69,22,1
3,51.23,0,49,5,0
12,1139.57,1,63,23,1
2,23.84,0,68,3,1
12,157.92,1,34,9,0
12,883.49,0,88,23,1
4,136.76,0,82,5,0
11,549.66,1,67,10,0
4,370.61,1,57,8,1
11,1124.39,0,39,11,1
7,22.72,0,50,12,1
4,289.38,0,77,1,1
8,35.72,1,26,13,0
12,798.84,1,96,23,1
4,330.19,0,74,2,1
4,321.43,1,19,3,1
12,720.66,0,36,3,1
8,3.76,0,68,9,0
4,363.09,0,51,0,1
8,4.11,0,35,8,0
4,319.08,0,23,2,1
0,1.45,1,61,17,0
